,,PL Type,,,,,,,,,,,,,,,,,,,,,
Date,,25.03.11,25.03.12,25.03.13,25.03.18,25.03.19,25.03.20,25.03.21,25.03.24,25.04.04,25.04.07,25.04.09,25.04.10,25.04.14,25.04.15,25.04.16,25.04.17,25.04.18,25.04.25,25.04.28,25.04.29,25.04.30,25.05.13
Number of Sample,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Number of Mixer Settler stage,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Org,,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272,Cyanex272
"Org, mol/L",,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913,0.473107913
"Org, mL/min",,150,150,190,190,190,190,190,190,170,168,206,225,225,225,245,250,250,230,230,230,230,230
"Aq, mL/min",,25,22,24,24,21,21,22,21,18,15.5,11.95,17,18,19.5,20,24,28,30,30,30,30,31
"NaOH, mL/min",,2.6,5,,5.2,,4,4,,,9.47,15,,11,,12.95,,15.5,18.79,17.2,18.2,18.9,19.12
"NaOH Concentration, wt%",,25,25,25,25,25,25,25,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10
NaOH Reaction type,,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification,Saponification
Feed, Ca , <1 , 2 , <1 , 5 , 6 , 5 , 5 , 5 , 5 , 6 , 5 , 10 , 4 , 3 , 4 , 3 , 3 , 5 , 4 , 4 , 3 , 4 
, Co , <1 , 2 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , 1 , 9 , <1 , 16 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 
, Cr , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 
, Li , <1 , 6 , <1 , 14 , 14 , 13 , 13 , 13 , 15 , 15 , 15 , 20 , 16 , 16 , 16 , 16 , 16 , 17 , 17 , 16 , 16 , 17 
, Mg , <1 , <1 , <1 , <1 , <1 , 22 , 22 , 20 , 18 , 17 , 17 , 15 , 11 , 11 , 9 , 9 , 9 , 6 , 6 , 13 , 14 , 118 
, Mn , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 
, Ni , <1 ," 77,583 "," 68,112 "," 72,035 "," 68,509 "," 71,283 "," 71,283 "," 68,461 "," 74,932 "," 73,623 "," 74,274 "," 70,617 "," 71,350 "," 71,521 "," 66,988 "," 68,490 "," 68,490 "," 70,806 "," 71,561 "," 62,058 "," 64,493 "," 72,217 "
, Zn , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 
,pH,4.12,5.91,6.28,6.33,6.33, 6.32 ,6.32,6.32, 5.82 , 5.82 , 5.82 , 5.82 , 5.82 , 5.82 , 5.82 , 5.82 , 5.82 , 5.82 , 5.82 , 5.82 , 5.82 , 5.82 
"Raff' of 
1st Stage", Ca , <1 , 3 , <1 , 5 , 5 , 4 , 5 , 5 , 5 , 5 , 4 , 9 , 4 , 3 , 4 , 3 , 3 , 4 , 4 , 4 , 4 , 4 
, Co , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 
, Cr , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 
, Li , <1 , 6 , <1 , 13 , 14 , 13 , 12 , 13 , 14 , 14 , 14 , 18 , 15 , 14 , 14 , 14 , 14 , 16 , 16 , 16 , 15 , 15 
, Mg , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , 3 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 
, Mn , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 
, Ni ," 54,849 "," 34,207 "," 11,541 "," 12,792 "," 11,651 "," 12,279 "," 10,197 "," 10,146 "," 10,260 "," 7,469 "," 1,434 "," 4,498 "," 2,332 "," 1,692 ", 735 , 634 , 634 ," 3,156 "," 9,105 "," 15,476 "," 2,169 "," 1,599 "
, Zn , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 
,pH,5.93,5.66,6.25,6.23,6.21,6.13,6.2,6.17,6.07,6.04,6.21,6.12,6.15,6.28,6.33,6.37,6.42,6.36,6.21,6.21,6.36,6.44
"Raff' of 
3rd Stage", Ca , <1 , 2 , <1 , 5 , 5 , 4 , 5 , 4 , 5 , 5 , 4 , 9 , 3 , 3 , 4 , 3 , 3 , 4 , 3 , 4 , 3 , 4 
, Co , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 
, Cr , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 
, Li , <1 , 6 , <1 , 13 , 14 , 13 , 12 , 13 , 15 , 15 , 15 , 19 , 16 , 16 , 16 , 16 , 16 , 18 , 18 , 17 , 17 , 17 
, Mg , <1 , <1 , <1 , <1 , <1 , <1 , <1 , 1 , 1 , <1 , <1 , 5 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , 1 , 1 , 6 
, Mn , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 
, Ni ," 92,866 "," 80,641 "," 64,364 "," 73,444 "," 68,523 "," 75,234 "," 74,504 "," 69,305 "," 74,249 "," 73,786 "," 73,309 "," 74,435 "," 71,476 "," 72,244 "," 70,589 "," 63,367 "," 63,367 "," 70,702 "," 72,773 "," 66,172 "," 67,109 "," 68,368 "
, Zn , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 , <1 
,pH,5.76,5.57,5.73,,5.69,5.66,5.71,5.51,5.55,5.43,5.44,5.38,5.39,5.32,5.33,5.3,5.57,5.62,5.58,5.42,5.51,5.49
,,,,,,,,,,,,,,,,,,,,,,,
